GRID_CODE,lat,lng
13.008119,6.914528,79.874457
12.854815,6.906057,79.874473
12.790441,6.914544,79.882934
12.738219,6.914512,79.86598
12.723229,6.922999,79.874441
12.652717,6.906073,79.88295
12.579692,6.906041,79.865996
12.507074,6.923015,79.882919
12.45308,6.922983,79.865964
12.275891,6.897586,79.874489
